High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
3617,3751,2514,3400,2354,2431.7,212,6,153.6,2.4,14.8,239.6,3060,19.96,6.66,2.01,83.88,30.8,16.1
3609,3617,2523,3388,2352,2424.8,226.8,6.4,71.3,1.5,77.2,245.5,3053.4,18.15,3.35,2.12,90.63,26.3,15.5
3523,3609,2513,3293,2354,2343.8,243.4,6.3,31,3.1,114.2,264.8,3006.6,19.73,19.2,3.15,74.63,26.8,14.5
3602,3523,2271,3381,2154,2229,222.6,6.3,267.8,4,-25.8,265,2968.9,23.31,26.83,2.63,65.5,27.6,15.6
3883,3602,2504,3561,2334,2369,210.8,6.2,267.3,6.1,65,239.3,3163.6,23.56,17.77,3.21,72.5,30.2,18.6
3856,3883,2592,3504,2405,2488.3,190.2,6.2,189.4,6.8,44.5,254.5,3180,22.14,14.37,2.53,78.63,33.1,18.1
3891,4104,3004,3679,2816,2831.8,112.2,7,203.8,23.5,-10.8,228.1,3395.6,8.9,19.66,4.34,31.88,16.2,1.4
3910,3891,2893,3866,2763,2750.7,112.2,6.6,252.1,17.2,63.3,220,3422,8.51,17.93,1.94,52.38,20.8,-1
3735,3910,2488,3564,2426,2743.2,116.8,7.3,54.7,22.5,-3.9,268.3,3208.8,8.26,16.84,4.48,56.63,21.3,1
3943,3735,2737,3876,2627,2738.3,134.5,7.4,210,21.6,-37.1,291.5,3366.1,4.96,14.43,3.11,52.25,20.6,-0.8
4308,3943,3029,4208,2853,3017,133.8,7.3,192.3,15.4,27.8,283.3,3676.8,6.63,2.96,2.65,88.5,16.2,2.8
4521,4308,3117,4263,2872,3243,145,7,32.3,19.6,90.5,328.2,3865.6,11.32,2.82,4.09,82,11.6,3.9
4004,4521,3040,3880,2804,3004.1,174.9,7.3,30,24,4,288.3,3532.6,7.24,15.64,2.91,61.63,16.2,2
3866,4004,2737,3797,2619,2546.8,163.4,7,271,11.3,37.4,314.9,3351.8,10.55,19.51,2.41,60.25,16.6,1.7
3743,3866,2913,3610,2746,2622.8,148.5,7.3,262.4,10.3,16.7,244.7,3312.7,13.88,20.05,2.09,59.25,16.8,3.1
3502,3743,2773,3404,2642,2430.9,135.9,7.3,258.6,14.6,6.1,298.2,3151.5,15.06,17.03,3.49,62.38,19.3,5.8
3513,3502,2648,3404,2548,2402,143.4,7,227.4,13.3,3.3,296.2,3092.6,12.32,5.21,4.42,68.88,24.5,4.4
3731,3513,2608,3636,2503,2658.9,145.8,6.4,51.1,22.8,51.7,272.4,3209,6.87,22.14,3.04,48.38,24,0.7
3688,3731,2523,3564,2427,2641.5,138.9,6.6,111.5,11.1,11.3,269.3,3190.2,8.42,4.47,3.42,81,18.4,3.8
4041,3688,2697,3918,2575,2932.7,148.1,7,59.6,17.4,8.4,295.2,3468.3,3.89,2.49,3.69,83.88,18.6,0.4
4186,4041,3139,3781,2861,3079.1,156.5,7,134.6,19.5,-99.3,226,3523.5,11.13,17.58,2.79,63.38,9.2,6.3
3719,4186,2830,3593,2637,2628.2,160.6,7,190,8.7,53,214.4,3261.8,10.9,20.02,2.5,66.88,18,4.1
3423,3719,2468,3342,2379,2269,150.7,7.4,264.7,10.3,14.7,284.3,3001.1,14.93,19.59,2.24,61.63,20.1,5.5
3397,3423,2584,3307,2477,2282.2,159.8,7.4,243.5,2.9,17,293.1,3006,16.64,22.04,2.47,59.63,24,8
3339,3397,2546,3244,2441,2201.5,166,7.4,269.7,5.2,24.5,281.1,2955.5,17.36,21.54,2.54,55.5,22.8,8.1
3347,3339,2506,3249,2411,2176.6,173.2,7,266.5,11.3,25.9,279,2939.5,13.15,23.71,4.46,36.75,25.3,6.6
3311,3347,2477,3250,2370,2053.4,175.6,7.4,277.3,16,81.3,288.8,2899.9,12.37,22.94,2.8,50.63,26.2,1.7
3369,3311,2334,3272,2254,2230.3,153.6,10,238.9,4.6,16.6,259.3,2913.3,17.68,20.41,2.26,69.38,22.9,10.9
3448,3369,2503,3347,2402,2307.2,150.3,10,250.5,7.4,20.7,261.5,3007.5,19.16,21.86,3.34,62.75,26.1,10.9
3452,3448,2532,3328,2414,2283.8,164.6,10,270,12.9,-9.2,265.8,2998,13.15,13.81,3.24,64.75,25.9,8.1
3507,3452,2503,3395,2385,2384.6,175.3,9.8,172.2,12.1,2.5,248.7,3005.3,17.35,13.63,5.1,77.25,28.4,8.9
3408,3507,2566,3291,2442,2311,188.5,9.8,154.9,21.8,67.8,255.8,3009.5,14.71,9.69,5.2,62.25,19.4,5.4
3461,3408,2415,3399,2331,2278.4,169.2,8,276.3,16.9,74.9,183.5,3007.1,12.91,24.87,2.86,49.25,16.8,3.3
3446,3461,2638,3385,2525,2314.6,158.6,8,291.8,7.6,38.5,220.4,3039.5,16.01,13.7,4.76,66.88,21.6,7.4
3460,3446,2584,3358,2467,2419.2,155.2,8.9,155.8,22.1,45.9,239.4,3046.5,18.31,21.7,3.48,53.88,21.1,11.1
3440,3460,2555,3310,2437,2282.8,170.9,9,242.5,16.9,51.6,236,3009.6,14.51,24.89,3.81,34.5,22.2,8.1
3347,3440,2549,3291,2434,2324,171.1,9,286.7,13.5,-31.5,203.4,2976.1,13.86,9.28,3.2,64.38,26.5,4.9
3417,3347,2347,3361,2264,2254.1,174,9,246.8,8.3,49.3,202,2943.5,12.71,5.51,2.13,75.88,24.8,9.8
3638,3417,2558,3525,2439,2599.3,175.5,8,67,6.8,62.2,203,3121.6,13.48,11.28,2.45,85.5,20.5,9.9
3606,3638,2629,3413,2493,2540.5,181.8,8,106.7,9.3,36.4,228.8,3111.5,16.28,24.85,2.81,71.25,17.7,7.4
3401,3606,2603,3343,2468,2265.8,180.9,8,284,5.7,41.8,231.3,3017.5,18.3,25.59,2.88,59,19.5,10
3387,3401,2566,3290,2436,2215.6,186.7,8,289.9,7.3,33.2,249.5,2990.2,18.85,25.84,2.71,60.13,23.6,9
3438,3387,2309,3323,2206,2297.5,192.6,9,114.7,6.6,34.8,274.6,2929.8,16.64,5.79,2.26,84,30.7,12.1
3478,3438,2493,3362,2381,2461.8,194.6,9,79.8,10.5,44.9,215.7,3016.3,18.42,11.89,2.97,88,24.2,13.9
3575,3478,2517,3374,2390,2414.2,195.8,9,89.6,23,75.8,243.7,3051.1,18.27,26.11,3.43,58.25,22.5,11.8
3349,3575,2504,3284,2378,2096.9,194.5,8.9,286.6,10.2,79.5,263.8,2940.5,17.63,14.78,2.22,68.88,26.7,10.5
3348,3349,2490,3197,2348,2189.8,201.8,6,176.8,6.4,66.7,247,2894.5,18.78,27.4,3.47,56,26.8,10
3439,3348,2170,3250,2077,2314.8,201.8,7,84.3,14.5,27.3,217.5,2867.1,13.21,5.99,3.21,85.13,27.9,10.1
3457,3439,2423,3369,2301,2426.5,190,7,55,17.7,35.4,254.8,2986.4,12.34,9.8,3.53,83.38,22.6,9.4
3499,3457,2526,3416,2389,2437.6,197,2.3,90,15.8,35.7,271.7,3050,13.1,16.33,2.04,73.25,19.1,8.3
3514,3499,2524,3382,2375,2345.1,200.2,10,145.6,7.7,58.6,259.3,3026.5,15.98,27.28,3.1,61.5,18.6,5.8
