High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
3955,3925,2578,3795,2356,2830,120.7,5.7,77,9.3,-59.3,271.8,3255.2,26.75,25.98,3,72.13,32.8,19
4814,3955,2748,4040,2455,3060.5,122.1,5.6,180.5,11.1,10.7,278.3,3668.8,24.72,11.45,1.99,79,32.1,19.4
4219,4814,2802,3869,2482,2951.4,124.7,5.9,88.4,4,19.7,249.3,3443.3,22.51,4.52,2.56,91,38.2,19.6
4707,4219,2620,4189,2353,3016.6,122.5,5.6,197.7,3.7,61.9,240.5,3648.5,26.6,22.74,2.88,73.5,33.2,22.1
4604,4707,2892,4156,2523,3051.2,117.2,5.7,165.5,1.5,46.8,280.5,3668.5,25.28,6.38,1.49,87.38,35.9,21.8
4317,4604,2922,4053,2574,3083.5,130.5,6,44.3,4.2,39.7,270.3,3578.6,26.2,18.74,2.22,81.13,33.9,21.3
4773,4317,2895,4011,2586,3211.8,119.9,5.8,126.7,8.5,-57.8,289,3704,22.89,8.52,2.52,86,29.4,20
4058,4773,2793,3552,2462,2828.8,135.3,6,47.2,5,14.3,272.4,3309,23.76,14,2.2,79.5,35,18.8
4735,4058,2835,4342,2495,3227.7,114.1,5.7,167,2.8,-1.2,232.5,3748.7,26.02,21.55,3.04,74.63,35.7,21.1
4467,4735,2985,4063,2585,3106.5,108.2,5.7,146.5,2.3,11.8,230.8,3611.8,22.61,7.43,2.47,86,34.5,19.7
3948,4467,2802,3649,2471,2850.8,107,6,33.3,2.1,19,267.1,3285.3,21.61,7.89,2.68,82.75,34.3,18.9
3735,3948,2631,3443,2393,2658.3,107.5,5,50.1,5.5,38.5,266.7,3131.6,22.25,16.48,2.52,70.75,32.7,16.2
3972,3735,2359,3729,2165,2699.7,107.4,6,120.3,1.9,1,266.5,3202.7,23.22,4.65,2.02,84.75,31.8,20.2
3986,3972,2638,3576,2362,2790.6,111.8,6,39.7,2.8,11.2,281.4,3243.5,24.12,12,2.37,83.13,32.1,20.4
