High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
4011,3803,2616,3708,2418,2644.5,173.1,1.7,181,3,32.2,296.4,3331.9,22.29,20.27,2.5,65,32.4,15.9
3799,4011,2695,3528,2442,2469.5,168.7,3.3,238.4,2.9,24.8,289.3,3196.8,19.43,5.23,2,81.63,29.5,14.6
3658,3799,2606,3377,2403,2587.6,161.1,7,62.5,3.4,30.4,271.9,3123.8,18.14,3.76,3.32,96.63,29.1,15
3518,3658,2559,3332,2376,2526.5,170,7,37,13.2,34.2,269.1,3056.9,22.39,12.92,1.53,85.88,24.6,18.4
3888,3518,2643,3406,2445,2703.8,157.6,6.6,37.2,3.7,14.9,273.5,3197.3,18.28,7.41,3.07,86.38,31,15.4
3545,3888,2555,3341,2370,2493.2,161.5,6.4,72.6,15.6,26.9,276.8,3052.9,16.35,4.25,2.71,92.13,26,13.3
3479,3545,2522,3336,2350,2502.2,167.5,7,43.1,15.5,24.5,258.4,3018.3,19.73,20.68,1.93,72.63,25.7,11.7
3452,3479,2508,3290,2343,2282,166.1,6.6,242.3,3.2,13,265.5,2978.7,18.38,4.66,1.79,90,21.5,16
4123,3452,2460,3552,2289,2588.6,84.2,9,232.5,34.9,45.1,260.5,3254.8,21.33,19.7,2.33,57,27.6,12.5
3715,4123,2598,3459,2395,2434.9,129.2,9,243.6,19.6,40.2,249.8,3126.3,20.55,13.88,2.15,74,33.5,14
3613,3715,2553,3414,2376,2466,166.8,9,166.6,7.2,18.4,254.6,3088.6,19.94,6.3,2.13,75.75,27.5,16.1
3598,3613,2571,3384,2382,2531,174.2,9,84.3,17.3,18.5,239,3073.3,19.66,6.44,2.08,84.13,26.5,16.8
3577,3598,2550,3354,2387,2566,184.4,9,58.8,16.4,4.3,236.8,3075.7,23.72,13.58,2.82,84,24,18.2
3741,3577,2432,3465,2294,2532.4,183.3,9,184.4,7.1,-48.3,251,3118.8,21.61,10.86,2.03,76.63,28.4,14.9
3808,3741,2574,3487,2392,2554.5,171.5,9,196.3,8.1,1,240.8,3181.3,21.14,5.29,2.2,87.63,28.2,16.9
3755,3808,2629,3513,2438,2699.6,157.5,9,65.8,8,20.6,243,3203.5,19.51,8.08,2.88,72.38,28.8,14.3
3634,3755,2630,3304,2444,2535.6,171.5,9,97.6,24.9,-8.9,267.2,3096.9,16.87,8.17,2.51,65.13,27.7,11.6
3516,3634,2272,3302,2151,2353,155.1,8,94.6,7.3,66.6,260.8,2945.4,17.3,9.38,1.82,77.5,22.8,11.9
3533,3516,2495,3315,2359,2425.8,142.1,8,152,7.9,5.3,275,3016.2,17.55,10.98,2.44,72.75,21.4,12.8
3489,3533,2508,3266,2360,2427.5,136.9,8,160.4,13.5,-3.3,265.2,3008.3,16.88,13.41,2.57,71,22.5,10.9
3478,3489,2495,3281,2349,2372.5,130.3,8,202.7,12.5,6.6,259.3,2991.8,16.15,7.54,2.54,76.88,24,11.6
3475,3478,2482,3262,2339,2427.9,137.9,8,108.8,17.8,49.8,245.9,2996,16.34,13.45,2.92,73.25,23.1,10.5
3454,3475,2269,3254,2169,2314.2,126.8,8,253.3,10.2,-25.8,231.3,2918,14.58,6.76,2.37,76.88,24.6,7.9
3563,3454,2483,3375,2369,2600.7,121.9,8,80.4,12,6,217.8,3046.9,17.56,13.09,2.36,75.38,23.3,11.9
3498,3563,2536,3284,2395,2480.9,117.2,8,180.6,10.9,-12.8,240,3024.8,17.19,15.79,2.14,63.63,22.5,9.4
3490,3498,2479,3276,2348,2373.1,115.7,8.4,246.3,15.4,-8.7,244.8,2994.9,16.88,8.36,1.91,67.63,25.6,9.1
3458,3490,2501,3241,2368,2430.7,110.8,9,138.8,12.3,37.7,245,2984.3,18.05,10.29,2.42,82.25,24.4,11.2
3460,3458,2283,3248,2175,2283.8,111.8,9,239.3,19.2,-4,259.7,2918.7,16.16,14.8,2.7,58.75,22.9,7.9
3478,3460,2476,3261,2353,2330.9,119.8,9,238.4,25.5,6.6,254.5,2984.6,13.69,12.55,2.21,55.63,24.1,6.5
3453,3478,2489,3279,2363,2385,110.7,9,201,26.8,4.6,252.6,2989.7,12.93,15.15,2.36,56.25,23.8,4.2
3495,3453,2522,3328,2394,2378.8,99,6.7,225.3,14.2,28.4,262,3014.4,13.25,15.21,1.98,60.25,20.8,4.9
3459,3495,2545,3282,2417,2374.5,101.4,5,231.9,5.5,42.6,250.8,3011.6,13.95,13.7,1.96,68,19.9,6.6
3538,3459,2304,3308,2208,2450.7,103,5,153.6,2.8,-0.7,257.8,2972.2,17.16,2.54,1.93,93.88,21.2,14
3609,3538,2509,3359,2371,2651.3,106.2,5,47.3,2,36.3,229.9,3078,16.79,8.94,2.67,72.63,24,11.1
3511,3609,2534,3305,2395,2497.5,104.8,5,140.5,15,-0.1,260.3,3022.9,16.19,10.25,2.7,71,22.9,10.2
3548,3511,2532,3331,2395,2491.1,97.6,5,171.5,12.8,1.5,263.2,3042.8,15.71,2.41,1.58,92.38,23,12.1
3602,3548,2531,3344,2402,2634.5,103.5,5,38,8.3,39,258.3,3086.6,17.71,11.46,2.39,75.25,23.2,11.4
3543,3602,2292,3328,2204,2523,104,5,117.9,3.3,-31.8,256.2,2977.6,14.82,4.93,2.43,74.63,22.4,11.1
3594,3543,2532,3385,2388,2623.3,96.1,5,60.3,8.2,26.7,247.3,3066.9,13.07,12.18,2.87,57.5,22.2,6.8
3542,3594,2568,3397,2423,2474.3,96.1,5,186.3,13.3,9.3,246,3030.2,11.35,13.55,2.11,61.63,18.5,3.9
3614,3542,2587,3467,2467,2529.1,93.5,5,194.7,8.1,17.6,238.3,3086.3,11.95,11.6,1.71,67.38,18.4,4.5
3593,3614,2636,3417,2497,2566.8,90.5,5,177,3.1,19.5,251.5,3113.4,13.88,12.34,2.27,61.13,18.4,6.1
3687,3593,2370,3465,2276,2632,90.8,5,101.1,8.8,0.2,251.7,3089.6,10.89,9.88,2.17,62.38,19.2,4.4
3737,3687,2606,3591,2472,2673.6,86,5,144.8,9.8,16.9,232.7,3168.9,10.59,11.8,1.69,66.5,19.7,2
3712,3737,2715,3556,2582,2701.6,91.8,5,180.8,7.9,10.1,214.1,3211.3,11.03,3.41,2.06,75.25,16.5,5.4
3824,3712,2662,3653,2521,2910.5,92.8,5,37.7,9.2,11.4,224.9,3291.4,9.76,12.3,2.67,54.5,19.2,2.3
3814,3824,2536,3638,2423,2711.5,96.5,5,146,10.8,4.1,262.5,3236.4,12.97,9.88,1.76,76.13,17.3,5.2
3709,3814,2705,3555,2542,2724.9,93.3,5,128.8,8,8.8,247.9,3216.7,13.41,10.72,1.7,71.63,18.3,4.1
3669,3709,2726,3478,2589,2648.3,100.3,5,172,12.5,-18.7,271.4,3190.9,12.06,9.56,2.4,70.88,21.1,6
3784,3669,2632,3618,2514,2677.7,96.2,6,151.3,17.5,14.1,242.1,3204.9,10.78,11.68,2.27,60.38,20.6,3
3684,3784,2722,3534,2579,2672,86,9,176.1,9.9,20.1,235.6,3208.6,10.7,11.16,2.7,59.75,17.7,2.6
4830,4230,2764,4302,2505,2965.1,179.8,16.6,224.7,4,44.7,359.8,3794.7,25.61,10.4,2.55,81.63,33.7,20.9
4359,4830,3082,3924,2747,3023.5,174.3,17,107,2.3,-11.1,339.9,3652.9,23.91,8.17,2.22,82,33.8,19.9
3973,4359,2823,3661,2559,2776.2,174.3,16.7,103.6,1.9,-28,328.3,3372.9,25.42,12.05,1.68,77.38,33.3,21.5
4258,3973,2763,3992,2528,2773,178.8,17,174.9,2.3,40.8,330,3516.8,27.54,20.86,2.3,75.75,31.9,20
4916,4258,2930,4334,2637,3004,182.1,16.8,275.9,3,32.5,357.8,3872,28.03,19.95,2.25,76.25,34.8,21.4
5149,4916,2940,4460,2640,3058.1,186.3,16.6,180.8,16.1,94.3,371.4,3923.8,29,20.98,2.23,74.38,37.1,23.3
5390,5149,3150,4632,2788,3331.3,193.6,17,275.4,5.7,-50.4,401.6,4174.2,27.17,14.98,2.18,84.63,37,23
5158,5390,3195,4323,2802,3331,191.2,17,198.9,5.1,-112.8,369.1,3999.5,25.07,17.34,3.12,67.75,33.5,20
4351,5158,3054,3706,2684,2720.7,193.5,16.3,244.3,13.2,-21.6,370.9,3537.2,21.95,4.43,2.49,68.88,32.9,17.9
3765,4351,2723,3380,2487,2539,181.6,16,71.8,11.1,9,347.8,3176.3,22.11,13.27,2.17,74.88,34.9,15.9
4456,3765,2659,3797,2453,2703.1,149.3,16,257.2,9.3,28.5,356.4,3519.8,21.8,8.3,2.12,81,33.1,17.7
3891,4456,2761,3395,2493,2580.8,145.3,16,107.8,8.3,7.9,342,3208,22.13,19.54,2.55,68.25,28.3,16.1
3788,3891,2538,3472,2347,2377.1,137.4,16.3,247.8,13.7,11.8,345.6,3149.6,22.35,17.55,2.35,62.38,29.8,16.3
3775,3788,2570,3441,2360,2405.2,130.6,16.8,250.6,8.2,19.7,324.4,3155.5,21.3,6.93,2.16,72.25,34,17.2
4244,3775,2731,3752,2490,2775,132,17,171.2,17,-48.2,379.8,3443.8,23.79,18.65,2.39,64.88,31.3,18
