High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
5266,4978,3692,4741,3346,3770.3,137.4,7.8,52.9,12.3,-85.4,535.6,4431,4.13,11.54,1.76,71.5,8.9,-0.9
4690,5266,3209,4590,2986,3415,100.3,7.1,192,9.6,62,239.2,4025.2,2.02,15.03,2.2,44.5,11,-5.7
4722,4690,3550,4637,3242,3606,99.3,7.2,208.3,11.4,-45.8,215.5,4101.9,2.08,14.81,2.44,39.75,9.5,-7
4652,4722,3581,4587,3268,3582.3,99.3,7.7,212.3,13.8,-34.5,204.3,4085.1,2.2,13.87,2.23,44.63,8.6,-6.1
4716,4652,3561,4643,3239,3538.9,100.1,7.5,204.5,7.6,42.4,203.5,4104.5,2.77,15.21,1.73,48.5,9.6,-7
4655,4716,3581,4452,3261,3475.2,99.3,7.2,215.3,5,62.6,185.1,4049.6,5.62,11.11,2.2,58.38,10.2,-3.5
4571,4655,3357,4499,3110,3448.6,114.6,6.5,201.4,12.9,23.7,164.8,3972.4,4.8,16.45,2.98,46.63,9.7,-5.4
4434,4571,3480,4299,3163,3305.6,113.8,7,226,14.5,10.9,211.6,3889.5,8.89,14.65,3.93,45.38,10.1,0.7
4166,4434,3216,4060,2924,3168.7,113.6,7.1,204.2,21.2,-71.2,191.2,3634.8,5.64,14.34,2.51,52.38,11.9,-3.3
4320,4166,3188,4176,2974,3198.5,113.3,7.2,175.4,7.3,17.1,250.8,3769.5,5.32,13.49,4.09,51,17.6,-1.6
4482,4320,3201,4284,2922,3258.9,110.1,7.4,220,7.3,4.6,213.6,3821.9,6.49,16.89,2.37,53.5,10,-1.6
4228,4482,3172,4153,2931,3130.3,110.8,7.1,224.9,7.3,-31.8,244.8,3693.5,5.05,10,2.68,51,11.5,-1
4501,4228,3189,4379,2955,3318.6,107.1,7.1,133.2,8.3,50.5,260.7,3885.4,2.8,8.15,2.49,78.38,14.5,-0.5
4810,4501,3279,4659,3007,3490.8,109.7,7,73.5,5.7,214.4,231.5,4132.6,4.4,13.78,2.1,73.13,10.2,-2.1
4795,4810,3462,4366,3137,3641.1,108.6,6.9,148.8,5.2,-99.6,193.7,4004.6,6.45,15.77,2.8,53.13,9.9,-2.6
4483,4795,2992,4315,2780,3197.4,106,7.4,206.9,8.5,2.3,232,3760.5,6.82,15.74,2.29,59.75,12.8,-2.6
4227,4483,3218,4066,2952,3202.5,101.1,7,207,5.7,15.1,151.3,3689.7,8.22,12.79,2.67,58,13.6,-0.9
4104,4227,3149,3986,2927,3102,103.9,6.8,189.7,10.4,20.1,174.9,3607.7,11.98,15.66,5.02,62.25,14.8,3.8
3851,3684,2571,3647,2453,2829.6,93.1,9,69.3,5.4,-22.3,280.9,3265,16.25,9.16,2.4,79,17.1,8.7
3637,3851,2727,3444,2568,2647.8,99.3,9,138.4,21.7,26.4,236.4,3179,16.04,8.63,3.32,62.25,19,9.4
3618,3637,2643,3443,2519,2611,117.1,9,118.9,25.5,-23.4,266.5,3124.6,10.42,2.16,2.33,85.13,24.5,6.9
4029,3618,2661,3787,2541,2965.5,112.5,9,22.3,15,14.2,274,3412.5,11.99,5.76,1.98,77.13,22.4,5.3
3786,4029,2806,3602,2634,2785.3,110.4,8.6,81.9,25.2,10.7,285.6,3307.7,8.84,9.14,2.38,59.75,17.7,2.4
4452,3786,2881,4322,2694,3163.1,113.6,9,122.7,15.2,53.6,271.5,3748.8,4.31,6.3,2.24,69,11.3,-2.3
4608,4452,3255,4430,3005,3408.3,122,9,88.6,11.3,67.1,264.8,3971,7.04,6.03,3.06,80.63,10.4,1.5
4614,4608,3329,4221,3004,3422.9,137.5,9,65.6,15.2,-56.4,286.5,3880.3,5.88,7.19,2.16,62.25,11.1,-1.4
4520,4614,3203,4337,2960,3349.7,120.3,9,119.8,16.8,-50,295.5,3861.1,5.21,10.86,3.69,56.88,13.5,-0.9
4495,4520,3286,4335,3045,3282,111.3,9,158.2,23.9,-26.8,293,3850.5,4.34,10.27,2.7,53.5,12.6,-2.7
4702,4495,3158,4190,2861,3324,109.1,9,114.1,14.8,-60.5,307.7,3818.3,7.76,11.02,2.6,59.5,12.5,0.3
4258,4702,3167,4146,2934,3072.5,107.5,9,165.7,26,-9.8,322,3692.8,7.2,10.18,2.67,58.75,17.2,-1.3
4223,4258,3207,4113,2972,3077.1,111.6,9,161,23.8,33.5,293.2,3709.2,7.63,9.44,1.86,63.5,13.9,-0.5
4272,4223,3166,4069,2942,3064.6,113.8,9,146.8,19.5,-14,347,3686.8,7.44,10.57,1.62,63.75,14.5,-1.6
4112,4272,3149,3966,2942,2986.5,106.2,9,164,10.3,-6.9,358.4,3627.5,9.21,5.49,1.63,72.5,15.4,2.4
4314,4112,3133,4221,2908,3144.8,116.3,9,146.3,9.7,-28.9,358.8,3755.9,6.28,7.73,1.54,61.25,14.3,-2.2
4518,4314,3256,4060,2984,3127.2,117.3,9,123.9,16.2,20.5,349,3763.1,7.84,9.71,2.66,54.25,12.7,-0.3
4084,4518,3054,3884,2831,2894.6,121.8,9,139.9,20.2,-7.4,337.8,3515.8,3.79,11.07,4.42,40.75,15.2,-2.6
3574,4084,2980,3531,2617,2441.1,78.6,8.9,147.2,15.8,18.1,344.6,3054.2,4.18,11.49,1.95,53.63,11.6,-4.7
3793,3574,2853,3751,2617,2685.3,103.7,7,166.8,15,-49.1,319.2,3247.8,6.43,11.17,2.69,51.75,8.2,-2.9
4422,3793,3055,4356,2807,3150,103.1,7,168.9,16.4,7.3,333.9,3786.5,4.2,10.32,1.84,58,11.9,-3.6
